0	DB01110
1	DB01234
2	DB08814
3	DB00661
4	DB00909
5	DB04841
6	DB00201
7	DB00277
8	DB00640
9	DB00651
10	DB00996
11	DB01223
12	DB01412
13	DB00619
14	DB01254
15	DB04868
16	DB00244
17	DB00316
18	DB00328
19	DB00350
20	DB00461
21	DB00465
22	DB00469
23	DB00500
24	DB00554
25	DB00586
26	DB00605
27	DB00712
28	DB00749
29	DB00784
30	DB00788
31	DB00795
32	DB00812
33	DB00814
34	DB00821
35	DB00870
36	DB00945
37	DB00963
38	DB00991
39	DB01009
40	DB01014
41	DB01050
42	DB01283
43	DB01399
44	DB01435
45	DB02266
46	DB02709
47	DB04552
48	DB06725
49	DB06802
50	DB00246
51	DB00268
52	DB00334
53	DB00363
54	DB00408
55	DB00413
56	DB00477
57	DB00502
58	DB00543
59	DB00623
60	DB00679
61	DB00734
62	DB00800
63	DB00988
64	DB01186
65	DB01224
66	DB01235
67	DB01238
68	DB01239
69	DB01099
70	DB00398
71	DB01268
72	DB00384
73	DB00594
74	DB01229
75	DB01248
76	DB01394
77	DB03010
78	DB06772
79	DB00165
80	DB00559
81	DB06268
82	DB00321
83	DB00332
84	DB00342
85	DB00387
86	DB00424
87	DB00434
88	DB00458
89	DB00462
90	DB00496
91	DB00517
92	DB00572
93	DB00622
94	DB00715
95	DB00747
96	DB00809
97	DB00934
98	DB01036
99	DB01062
100	DB01085
101	DB01337
102	DB01409
103	DB01591
104	DB04843
105	DB06702
106	DB00170
107	DB00278
108	DB04786
109	DB04898
110	DB06695
111	DB00145
112	DB01108
113	DB00126
114	DB01275
115	DB06155
116	DB00177
117	DB00275
118	DB00796
119	DB00876
120	DB00966
121	DB01029
122	DB00297
123	DB00770
124	DB00905
125	DB00917
126	DB00636
127	DB01039
128	DB01241
129	DB01393
130	DB00121
131	DB00755
132	DB00993
133	DB01033
134	DB00210
135	DB00307
136	DB00459
137	DB00799
138	DB01941
139	DB00904
140	DB01079
141	DB00204
142	DB00308
143	DB00457
144	DB00489
145	DB00590
146	DB00908
147	DB01118
148	DB01136
149	DB01162
150	DB01182
151	DB01218
152	DB00762
153	DB01030
154	DB00245
155	DB00366
156	DB00804
157	DB00810
158	DB01148
159	DB01175
160	DB04365
161	DB03754
162	DB00973
163	DB01094
164	DB00208
165	DB06209
166	DB08816
167	DB00501
168	DB00585
169	DB00751
170	DB00863
171	DB00927
172	DB00987
173	DB00173
174	DB01016
175	DB01599
176	DB00255
177	DB00367
178	DB00396
179	DB00481
180	DB00539
181	DB00603
182	DB00655
183	DB00675
184	DB00783
185	DB00823
186	DB00882
187	DB00890
188	DB00947
189	DB00977
190	DB01065
191	DB01183
192	DB01196
193	DB01357
194	DB01645
195	DB04573
196	DB07933
197	DB01025
198	DB07931
199	DB00358
200	DB08486
201	DB00421
202	DB00499
203	DB00621
204	DB00624
205	DB00665
206	DB00984
207	DB01128
208	DB01395
209	DB01420
210	DB02932
211	DB04839
212	DB06710
213	DB07423
214	DB00536
215	DB00822
216	DB02115
217	DB00252
218	DB00273
219	DB01438
220	DB00361
221	DB00541
222	DB00570
223	DB01179
224	DB00724
225	DB01611
226	DB00514
227	DB01017
228	DB01120
229	DB00872
230	DB00290
231	DB00187
232	DB00195
233	DB00264
234	DB00368
235	DB00373
236	DB00571
237	DB00612
238	DB00668
239	DB00841
240	DB01001
241	DB01064
242	DB01193
243	DB04861
244	DB00281
245	DB00296
246	DB00527
247	DB00645
248	DB00721
249	DB00807
250	DB00892
251	DB00961
252	DB01086
253	DB01173
254	DB00583
255	DB01074
256	DB00203
257	DB00820
258	DB00862
259	DB00975
260	DB00128
261	DB01708
262	DB00379
263	DB00564
264	DB00740
265	DB00750
266	DB00776
267	DB01195
268	DB02877
269	DB04942
270	DB00222
271	DB00672
272	DB00731
273	DB00912
274	DB01067
275	DB01124
276	DB01251
277	DB00302
278	DB00513
279	DB00197
280	DB00412
281	DB01132
282	DB06228
283	DB01373
284	DB01087
285	DB00178
286	DB00542
287	DB00584
288	DB00691
289	DB00790
290	DB00881
291	DB01197
292	DB01340
293	DB01213
294	DB00200
295	DB00648
296	DB01367
297	DB00179
298	DB00233
299	DB00471
300	DB00744
301	DB01097
302	DB00242
303	DB00900
304	DB01667
305	DB02857
306	DB00600
307	DB00780
308	DB00331
309	DB03796
310	DB00811
311	DB00480
312	DB00482
313	DB00533
314	DB00580
315	DB01041
316	DB04743
317	DB08597
318	DB00232
319	DB00381
320	DB00423
321	DB00436
322	DB00703
323	DB00869
324	DB00880
325	DB00999
326	DB01021
327	DB01144
328	DB01194
329	DB00400
330	DB00370
331	DB00484
332	DB00575
333	DB00633
334	DB00656
335	DB00692
336	DB00697
337	DB00797
338	DB00925
339	DB00935
340	DB00968
341	DB01392
342	DB06148
343	DB06694
344	DB06711
345	DB00216
346	DB00315
347	DB00490
348	DB00669
349	DB00952
350	DB01616
351	DB06684
352	DB00393
353	DB00728
354	DB00889
355	DB01043
356	DB00279
357	DB00451
358	DB03604
359	DB00115
360	DB00695
